title,id,arxiv_url,published,citation
Lecture Notes on Quantum Algorithms in Open Quantum Systems,2406.11613,http://arxiv.org/abs/2406.11613v1,2024-06-17 15:00:25+00:00,0
Quantum Algorithms,0808.0369,http://arxiv.org/abs/0808.0369v1,2008-08-04 02:14:39+00:00,0
Self-Protected Quantum Algorithms Based on Quantum State Tomography,0702047,http://arxiv.org/abs/quant-ph/0702047v1,2007-02-06 01:03:11+00:00,0
Quantum Computation and Quantum Information,1210.0736,http://arxiv.org/abs/1210.0736v1,2012-10-02 11:47:37+00:00,0
A quantum algorithm for greatest common divisor problem,1707.06430,http://arxiv.org/abs/1707.06430v2,2017-07-20 09:51:28+00:00,0
Grover search algorithm,0705.4171,http://arxiv.org/abs/0705.4171v1,2007-05-29 09:42:46+00:00,0
Duality quantum computer and the efficient quantum simulations,1507.03200,http://arxiv.org/abs/1507.03200v1,2015-07-12 07:50:13+00:00,0
Quantum algorithms for algebraic problems,0812.0380,http://arxiv.org/abs/0812.0380v1,2008-12-02 14:05:19+00:00,0
Quantum algorithmic information theory,9510005,http://arxiv.org/abs/quant-ph/9510005v1,1995-10-05 12:09:46+00:00,0
Linear algebra and quantum algorithm,2008.08905,http://arxiv.org/abs/2008.08905v1,2020-08-14 08:09:12+00:00,0
