,title,id,arxiv_url,published
0,"Twin Hamiltonians, three types of the Dyson maps, and the probabilistic interpretation problem in quasi-Hermitian quantum mechanics",2511.20404,http://arxiv.org/abs/2511.20404v1,2025-11-25 15:33:31+00:00
1,Proximity driven photon-tunneling in chiral quantum hybrid systems,2511.20357,http://arxiv.org/abs/2511.20357v1,2025-11-25 14:35:29+00:00
2,Disentangling Kitaev Quantum Spin Liquid,2511.20261,http://arxiv.org/abs/2511.20261v1,2025-11-25 12:42:06+00:00
3,A Unified Complexity-Algorithm Account of Constant-Round QAOA Expectation Computation,2511.20212,http://arxiv.org/abs/2511.20212v1,2025-11-25 11:35:37+00:00
4,Microwave spectroscopy of few-carrier states in bilayer graphene quantum dots,2511.20185,http://arxiv.org/abs/2511.20185v1,2025-11-25 11:08:26+00:00
5,Error-structure-tailored early fault-tolerant quantum computing,2511.19983,http://arxiv.org/abs/2511.19983v1,2025-11-25 06:51:46+00:00
6,Nanophotonic magnetometry in a spin-dense diamond cavity,2511.19831,http://arxiv.org/abs/2511.19831v1,2025-11-25 01:46:17+00:00
7,Is the large uncertainty of $δ_{CP}$ fundamentally encoded in the neutrino quantum state?,2511.20148,http://arxiv.org/abs/2511.20148v2,2025-11-25 10:18:03+00:00
8,Impact of the valence band on Rydberg excitons in cuprous oxide quantum wells,2511.20441,http://arxiv.org/abs/2511.20441v1,2025-11-25 16:14:18+00:00
9,Nonreciprocal quantum information processing with superconducting diodes in circuit quantum electrodynamics,2511.20758,http://arxiv.org/abs/2511.20758v1,2025-11-25 19:00:05+00:00
10,Many-Body Entanglement in Solid-State Emitters,2511.20797,http://arxiv.org/abs/2511.20797v1,2025-11-25 19:39:32+00:00
11,Higher-order Zeno sequences,2511.20792,http://arxiv.org/abs/2511.20792v1,2025-11-25 19:32:02+00:00
12,Mode multiplexing for scalable cavity-enhanced operations in neutral-atom arrays,2511.20858,http://arxiv.org/abs/2511.20858v1,2025-11-25 21:13:11+00:00
13,Multi-Field Relativistic Continuous Matrix Product States,2511.20762,http://arxiv.org/abs/2511.20762v1,2025-11-25 19:00:07+00:00
14,Fault-Tolerant Non-Clifford GKP Gates using Polynomial Phase Gates and On-Demand Noise Biasing,2511.20355,http://arxiv.org/abs/2511.20355v1,2025-11-25 14:34:36+00:00
15,Escaping AB caging via Floquet engineering: photo-induced long-range interference in an all-band-flat model,2511.20255,http://arxiv.org/abs/2511.20255v1,2025-11-25 12:35:21+00:00
16,Exact WKB in all sectors II: Potentials with non-degenerate saddles,2511.20778,http://arxiv.org/abs/2511.20778v1,2025-11-25 19:16:21+00:00
17,Real-time Monitoring of Neon Film Growth for Electron-on-Neon Qubits,2511.20765,http://arxiv.org/abs/2511.20765v1,2025-11-25 19:00:15+00:00
